Playlist,Playlist Slug,City,Track Count,CSV File,URI List File,M3U8 File
Glendale Soundtrack,glendale,"Glendale, Arizona",10,csv/17-glendale-soundtrack.csv,spotify-uri-lists/17-glendale-soundtrack.txt,m3u8/17-glendale-soundtrack.m3u8
Green Bay Soundtrack,green-bay,"Green Bay, Wisconsin",10,csv/18-green-bay-soundtrack.csv,spotify-uri-lists/18-green-bay-soundtrack.txt,m3u8/18-green-bay-soundtrack.m3u8
Houston Soundtrack,houston,"Houston, Texas",10,csv/19-houston-soundtrack.csv,spotify-uri-lists/19-houston-soundtrack.txt,m3u8/19-houston-soundtrack.m3u8
Indianapolis Soundtrack,indianapolis,"Indianapolis, Indiana",10,csv/20-indianapolis-soundtrack.csv,spotify-uri-lists/20-indianapolis-soundtrack.txt,m3u8/20-indianapolis-soundtrack.m3u8
Jacksonville Soundtrack,jacksonville,"Jacksonville, Florida",10,csv/21-jacksonville-soundtrack.csv,spotify-uri-lists/21-jacksonville-soundtrack.txt,m3u8/21-jacksonville-soundtrack.m3u8
Kansas City Soundtrack,kansas-city,"Kansas City, Missouri",10,csv/22-kansas-city-soundtrack.csv,spotify-uri-lists/22-kansas-city-soundtrack.txt,m3u8/22-kansas-city-soundtrack.m3u8
Las Vegas Soundtrack,las-vegas,"Las Vegas, Nevada",10,csv/23-las-vegas-soundtrack.csv,spotify-uri-lists/23-las-vegas-soundtrack.txt,m3u8/23-las-vegas-soundtrack.m3u8
London Soundtrack,london,"London, England",10,csv/24-london-soundtrack.csv,spotify-uri-lists/24-london-soundtrack.txt,m3u8/24-london-soundtrack.m3u8
Los Angeles Soundtrack,los-angeles,"Los Angeles, California",10,csv/25-los-angeles-soundtrack.csv,spotify-uri-lists/25-los-angeles-soundtrack.txt,m3u8/25-los-angeles-soundtrack.m3u8
Madrid Soundtrack,madrid,"Madrid, Spain",10,csv/26-madrid-soundtrack.csv,spotify-uri-lists/26-madrid-soundtrack.txt,m3u8/26-madrid-soundtrack.m3u8
Melbourne Soundtrack,melbourne,"Melbourne, Victoria",10,csv/27-melbourne-soundtrack.csv,spotify-uri-lists/27-melbourne-soundtrack.txt,m3u8/27-melbourne-soundtrack.m3u8
Mexico City Soundtrack,mexico-city,"Mexico City, Mexico",10,csv/28-mexico-city-soundtrack.csv,spotify-uri-lists/28-mexico-city-soundtrack.txt,m3u8/28-mexico-city-soundtrack.m3u8
Miami Soundtrack,miami,"Miami, Florida",20,csv/29-miami-soundtrack.csv,spotify-uri-lists/29-miami-soundtrack.txt,m3u8/29-miami-soundtrack.m3u8
Milwaukee Soundtrack,milwaukee,"Milwaukee, Wisconsin",10,csv/30-milwaukee-soundtrack.csv,spotify-uri-lists/30-milwaukee-soundtrack.txt,m3u8/30-milwaukee-soundtrack.m3u8
Minneapolis Soundtrack,minneapolis,"Minneapolis, Minnesota",10,csv/31-minneapolis-soundtrack.csv,spotify-uri-lists/31-minneapolis-soundtrack.txt,m3u8/31-minneapolis-soundtrack.m3u8
