Playlist,Playlist Slug,Position,Title,Artist,Spotify URI,Spotify URL,Spotify Track ID,Explicit
Austin Soundtrack,austin,8,Your Hand in Mine,Explosions in the Sky,spotify:track:3HBcQ5GenzAlBhCIgDGL3x,https://open.spotify.com/track/3HBcQ5GenzAlBhCIgDGL3x,3HBcQ5GenzAlBhCIgDGL3x,FALSE
Austin Soundtrack,austin,9,Deep in the Heart of Texas,Bob Wills & His Texas Playboys,spotify:track:0ffyVQF2aTbWA47q3Gtvc6,https://open.spotify.com/track/0ffyVQF2aTbWA47q3Gtvc6,0ffyVQF2aTbWA47q3Gtvc6,FALSE
Austin Soundtrack,austin,10,Young Men Dead,The Black Angels,spotify:track:2C7CRmiNGiyO8TSgAZwA2X,https://open.spotify.com/track/2C7CRmiNGiyO8TSgAZwA2X,2C7CRmiNGiyO8TSgAZwA2X,FALSE
Baltimore Soundtrack,baltimore,1,Baltimore,Nina Simone,spotify:track:39CyGKIFqMzSuynOR8uilD,https://open.spotify.com/track/39CyGKIFqMzSuynOR8uilD,39CyGKIFqMzSuynOR8uilD,FALSE
Baltimore Soundtrack,baltimore,2,Baltimore,Randy Newman,spotify:track:5Qurmyhb9LOjd0ZkzqufQ8,https://open.spotify.com/track/5Qurmyhb9LOjd0ZkzqufQ8,5Qurmyhb9LOjd0ZkzqufQ8,FALSE
Baltimore Soundtrack,baltimore,3,Myth,Beach House,spotify:track:2vAts2sr7wl8NJwd8qmUEo,https://open.spotify.com/track/2vAts2sr7wl8NJwd8qmUEo,2vAts2sr7wl8NJwd8qmUEo,FALSE
Baltimore Soundtrack,baltimore,4,My Girls,Animal Collective,spotify:track:7jZBPuJmkOsfPkwFD30dAA,https://open.spotify.com/track/7jZBPuJmkOsfPkwFD30dAA,7jZBPuJmkOsfPkwFD30dAA,FALSE
Baltimore Soundtrack,baltimore,5,Seasons (Waiting on You),Future Islands,spotify:track:522YBf6WqBwJVAe7oHLymu,https://open.spotify.com/track/522YBf6WqBwJVAe7oHLymu,522YBf6WqBwJVAe7oHLymu,FALSE
Baltimore Soundtrack,baltimore,6,Snookered,Dan Deacon,spotify:track:6rqxDx2AyWQYgT3zuAPQVU,https://open.spotify.com/track/6rqxDx2AyWQYgT3zuAPQVU,6rqxDx2AyWQYgT3zuAPQVU,FALSE
Baltimore Soundtrack,baltimore,7,Minnie the Moocher,Cab Calloway,spotify:track:2JOJBxwRHWYcdXiOxZmoFv,https://open.spotify.com/track/2JOJBxwRHWYcdXiOxZmoFv,2JOJBxwRHWYcdXiOxZmoFv,FALSE
Baltimore Soundtrack,baltimore,8,God Bless the Child,Billie Holiday,spotify:track:5qBni6WW7PGlWTwY3lRWAj,https://open.spotify.com/track/5qBni6WW7PGlWTwY3lRWAj,5qBni6WW7PGlWTwY3lRWAj,FALSE
Baltimore Soundtrack,baltimore,9,Thank God I'm a Country Boy,John Denver,spotify:track:69HICMmc6nNLucAx3aJX9M,https://open.spotify.com/track/69HICMmc6nNLucAx3aJX9M,69HICMmc6nNLucAx3aJX9M,FALSE
Baltimore Soundtrack,baltimore,10,The Anthem,Good Charlotte,spotify:track:0BRHnOFm6sjxN1i9LJrUDu,https://open.spotify.com/track/0BRHnOFm6sjxN1i9LJrUDu,0BRHnOFm6sjxN1i9LJrUDu,FALSE
Baton Rouge Soundtrack,baton-rouge,1,Callin' Baton Rouge,Garth Brooks,spotify:track:5uuCtZf9KTxS84i5hFxmQP,https://open.spotify.com/track/5uuCtZf9KTxS84i5hFxmQP,5uuCtZf9KTxS84i5hFxmQP,FALSE
Baton Rouge Soundtrack,baton-rouge,2,Good,Better Than Ezra,spotify:track:0ttHpMs250dpFkCYAnuhnE,https://open.spotify.com/track/0ttHpMs250dpFkCYAnuhnE,0ttHpMs250dpFkCYAnuhnE,FALSE
Baton Rouge Soundtrack,baton-rouge,3,Wipe Me Down,Boosie Badazz,spotify:track:1csF3mqDAQ33FuLJhV4ESS,https://open.spotify.com/track/1csF3mqDAQ33FuLJhV4ESS,1csF3mqDAQ33FuLJhV4ESS,TRUE
Baton Rouge Soundtrack,baton-rouge,4,2 Phones,Kevin Gates,spotify:track:0wdKiSBUT7aZkXUIdJWcwC,https://open.spotify.com/track/0wdKiSBUT7aZkXUIdJWcwC,0wdKiSBUT7aZkXUIdJWcwC,TRUE
Baton Rouge Soundtrack,baton-rouge,5,Outside Today,YoungBoy Never Broke Again,spotify:track:3sA7HKGzcKTVscdiTCrWpX,https://open.spotify.com/track/3sA7HKGzcKTVscdiTCrWpX,3sA7HKGzcKTVscdiTCrWpX,TRUE
Baton Rouge Soundtrack,baton-rouge,6,Baby Scratch My Back,Slim Harpo,spotify:track:2IygpAGpJMr45ngOGHaTsJ,https://open.spotify.com/track/2IygpAGpJMr45ngOGHaTsJ,2IygpAGpJMr45ngOGHaTsJ,FALSE
Baton Rouge Soundtrack,baton-rouge,7,Hey Fighting Tigers,Better Than Ezra,spotify:track:2DnAch2kvKVN4Z4FShFapD,https://open.spotify.com/track/2DnAch2kvKVN4Z4FShFapD,2DnAch2kvKVN4Z4FShFapD,FALSE
Baton Rouge Soundtrack,baton-rouge,8,Ya Ya,Buckwheat Zydeco,spotify:track:7xg0mUp7k1Q2ncW5PkmTx0,https://open.spotify.com/track/7xg0mUp7k1Q2ncW5PkmTx0,7xg0mUp7k1Q2ncW5PkmTx0,FALSE
Baton Rouge Soundtrack,baton-rouge,9,Louisiana 1927,Randy Newman,spotify:track:7qLEaxMiR8WUsCG1uOBsuO,https://open.spotify.com/track/7qLEaxMiR8WUsCG1uOBsuO,7qLEaxMiR8WUsCG1uOBsuO,FALSE
Baton Rouge Soundtrack,baton-rouge,10,Really Really,Kevin Gates,spotify:track:10I3CmmwT0BkOVhduDy53o,https://open.spotify.com/track/10I3CmmwT0BkOVhduDy53o,10I3CmmwT0BkOVhduDy53o,TRUE
Biloxi Soundtrack,biloxi,1,Biloxi,Jesse Winchester,spotify:track:3cufrc21549dsUJ3k6cnY7,https://open.spotify.com/track/3cufrc21549dsUJ3k6cnY7,3cufrc21549dsUJ3k6cnY7,FALSE
Biloxi Soundtrack,biloxi,2,Margaritaville,Jimmy Buffett,spotify:track:4EEjMyQub6tgFVshlM9j1M,https://open.spotify.com/track/4EEjMyQub6tgFVshlM9j1M,4EEjMyQub6tgFVshlM9j1M,FALSE
Biloxi Soundtrack,biloxi,3,Kryptonite,3 Doors Down,spotify:track:6ZOBP3NvffbU4SZcrnt1k6,https://open.spotify.com/track/6ZOBP3NvffbU4SZcrnt1k6,6ZOBP3NvffbU4SZcrnt1k6,FALSE
Biloxi Soundtrack,biloxi,4,The Thrill Is Gone,B.B. King,spotify:track:4NQfrmGs9iQXVQI9IpRhjM,https://open.spotify.com/track/4NQfrmGs9iQXVQI9IpRhjM,4NQfrmGs9iQXVQI9IpRhjM,FALSE
Biloxi Soundtrack,biloxi,5,Mannish Boy,Muddy Waters,spotify:track:58PSYdY0GFg0LFb2PxYk4T,https://open.spotify.com/track/58PSYdY0GFg0LFb2PxYk4T,58PSYdY0GFg0LFb2PxYk4T,FALSE
Biloxi Soundtrack,biloxi,6,Cross Road Blues,Robert Johnson,spotify:track:1TrGdXSgiBm8W68D2K1COG,https://open.spotify.com/track/1TrGdXSgiBm8W68D2K1COG,1TrGdXSgiBm8W68D2K1COG,FALSE
Biloxi Soundtrack,biloxi,7,Kiss an Angel Good Mornin',Charley Pride,spotify:track:37GWhu8R61gTStMvVQfDuE,https://open.spotify.com/track/37GWhu8R61gTStMvVQfDuE,37GWhu8R61gTStMvVQfDuE,FALSE
Biloxi Soundtrack,biloxi,8,Mississippi Girl,Faith Hill,spotify:track:79YeQbd1p7MsuT7wHQLRYY,https://open.spotify.com/track/79YeQbd1p7MsuT7wHQLRYY,79YeQbd1p7MsuT7wHQLRYY,FALSE
Biloxi Soundtrack,biloxi,9,That's All Right,Elvis Presley,spotify:track:0tHcXWIYt99GY8BONrPIfA,https://open.spotify.com/track/0tHcXWIYt99GY8BONrPIfA,0tHcXWIYt99GY8BONrPIfA,FALSE
Biloxi Soundtrack,biloxi,10,Come Monday,Jimmy Buffett,spotify:track:0yje3JVMgJNZENayymCTHA,https://open.spotify.com/track/0yje3JVMgJNZENayymCTHA,0yje3JVMgJNZENayymCTHA,FALSE
Boston Soundtrack,boston,1,Sweet Caroline,Neil Diamond,spotify:track:62AuGbAkt8Ox2IrFFb8GKV,https://open.spotify.com/track/62AuGbAkt8Ox2IrFFb8GKV,62AuGbAkt8Ox2IrFFb8GKV,FALSE
Boston Soundtrack,boston,2,Dirty Water,The Standells,spotify:track:3NINDFPIYnyT26cWWRomOQ,https://open.spotify.com/track/3NINDFPIYnyT26cWWRomOQ,3NINDFPIYnyT26cWWRomOQ,FALSE
Boston Soundtrack,boston,3,I'm Shipping Up to Boston,Dropkick Murphys,spotify:track:7rSERmjAT38lC5QhJ8hnQc,https://open.spotify.com/track/7rSERmjAT38lC5QhJ8hnQc,7rSERmjAT38lC5QhJ8hnQc,FALSE
Boston Soundtrack,boston,4,Dream On,Aerosmith,spotify:track:5Ih9gbqyxCzTJ43nuSuKnC,https://open.spotify.com/track/5Ih9gbqyxCzTJ43nuSuKnC,5Ih9gbqyxCzTJ43nuSuKnC,FALSE
Boston Soundtrack,boston,5,More Than a Feeling,Boston,spotify:track:1QEEqeFIZktqIpPI4jSVSF,https://open.spotify.com/track/1QEEqeFIZktqIpPI4jSVSF,1QEEqeFIZktqIpPI4jSVSF,FALSE
Boston Soundtrack,boston,6,Just What I Needed,The Cars,spotify:track:4alHo6RGd0D3OUbTPExTHN,https://open.spotify.com/track/4alHo6RGd0D3OUbTPExTHN,4alHo6RGd0D3OUbTPExTHN,FALSE
Boston Soundtrack,boston,7,Boston,Augustana,spotify:track:2WZyfujzMweFLnozyUJBkW,https://open.spotify.com/track/2WZyfujzMweFLnozyUJBkW,2WZyfujzMweFLnozyUJBkW,FALSE
Boston Soundtrack,boston,8,Centerfold,The J. Geils Band,spotify:track:1ynmMEK1fkyiZ6Z6F3ThEt,https://open.spotify.com/track/1ynmMEK1fkyiZ6Z6F3ThEt,1ynmMEK1fkyiZ6Z6F3ThEt,FALSE
Boston Soundtrack,boston,9,Candy Girl,New Edition,spotify:track:72OrfuJ9RxfLCoqAMeKHCZ,https://open.spotify.com/track/72OrfuJ9RxfLCoqAMeKHCZ,72OrfuJ9RxfLCoqAMeKHCZ,FALSE
